Date,AAPL,MSFT,AMZN,GOOGL,NVDA,META,TSLA,ADBE,NFLX,INTU
2015-01-01 00:00:00-05:00,27.585092544555664,34.658775329589844,18.604999542236328,27.545019149780273,0.5022350549697876,81.71623992919922,12.584667205810547,73.94000244140625,5.952713966369629,88.64936828613281
2015-04-01 00:00:00-04:00,27.916534423828125,37.90149688720703,21.704500198364258,26.81704330444336,0.48441648483276367,85.24449157714844,17.884000778198242,81.01000213623047,9.384857177734375,92.39509582519531
2015-07-01 00:00:00-04:00,24.65163803100586,38.24285888671875,25.594499588012695,31.69986343383789,0.5965258479118347,89.34918975830078,16.559999465942383,82.22000122070312,10.326000213623047,81.58360290527344
2015-10-01 00:00:00-04:00,23.631710052490234,48.253623962402344,33.794498443603516,38.63404083251953,0.8009827733039856,104.01876068115234,16.000667572021484,93.94000244140625,11.437999725341797,88.92243194580078
2016-01-01 00:00:00-05:00,24.573862075805664,48.3599739074707,29.68199920654297,37.88371276855469,0.8691561222076416,113.40090942382812,15.317999839782715,93.80000305175781,10.222999572753906,96.16036224365234
2016-04-01 00:00:00-04:00,21.67178726196289,45.12668228149414,35.78099822998047,34.935543060302734,1.1509376764297485,113.5798110961914,14.152000427246094,95.79000091552734,9.14799976348877,103.50929260253906
2016-07-01 00:00:00-04:00,25.783611297607422,51.15256881713867,41.865501403808594,39.927608489990234,1.6819186210632324,127.48410034179688,13.60200023651123,108.54000091552734,9.854999542236328,102.3174057006836
2016-10-01 00:00:00-04:00,26.558462142944336,55.52833938598633,37.493499755859375,39.35109329223633,2.6249098777770996,114.3450927734375,14.246000289916992,102.94999694824219,12.380000114440918,106.8763656616211
2017-01-01 00:00:00-05:00,33.111541748046875,59.2501335144043,44.32699966430664,42.099632263183594,2.6827759742736816,141.17965698242188,18.553333282470703,130.1300048828125,14.781000137329102,108.50054168701172
2017-04-01 00:00:00-04:00,33.33842086791992,62.387935638427734,48.400001525878906,46.165592193603516,3.5647802352905273,150.05496215820312,24.107332229614258,141.44000244140625,14.940999984741211,124.60063934326172
2017-07-01 00:00:00-04:00,35.82368087768555,67.80671691894531,48.067501068115234,48.35250473022461,4.413026332855225,169.82308959960938,22.739999771118164,149.17999267578125,18.135000228881836,133.74412536621094
2017-10-01 00:00:00-04:00,39.490318298339844,78.2801513671875,58.4734992980957,52.3092155456543,4.780848026275635,175.37884521484375,20.75666618347168,175.24000549316406,19.195999145507812,148.84378051757812
2018-01-01 00:00:00-05:00,39.29270935058594,83.94329071044922,72.36699676513672,51.50178527832031,5.725921154022217,158.81094360351562,17.742000579833984,216.0800018310547,29.53499984741211,163.97955322265625
2018-04-01 00:00:00-04:00,43.52800750732422,91.12010955810547,84.98999786376953,56.07276153564453,5.860849380493164,193.12942504882812,22.863332748413086,243.80999755859375,39.143001556396484,193.72613525390625
2018-07-01 00:00:00-04:00,53.28669357299805,106.14118194580078,100.1500015258789,59.94058609008789,6.956666469573975,163.45236206054688,17.65133285522461,269.95001220703125,37.41299819946289,216.1226348876953
2018-10-01 00:00:00-04:00,37.365665435791016,94.62486267089844,75.09850311279297,51.890113830566406,3.306607961654663,130.2868194580078,22.18666648864746,226.24000549316406,26.766000747680664,187.4389190673828
2019-01-01 00:00:00-05:00,45.1525993347168,110.35017395019531,89.0374984741211,58.441429138183594,4.451898574829102,165.66868591308594,18.657333374023438,266.489990234375,35.65599822998047,249.45188903808594
2019-04-01 00:00:00-04:00,47.248897552490234,125.87452697753906,94.68150329589844,53.7691535949707,4.076013565063477,191.81752014160156,14.897333145141602,294.6499938964844,36.731998443603516,249.95204162597656
2019-07-01 00:00:00-04:00,53.67365264892578,131.1220703125,86.79550170898438,60.63876724243164,4.325161933898926,176.98890686035156,16.058000564575195,276.25,26.761999130249023,254.82064819335938
2019-10-01 00:00:00-04:00,70.63961029052734,149.22543334960938,92.39199829101562,66.51075744628906,5.852346897125244,203.99244689941406,27.8886661529541,329.80999755859375,32.356998443603516,251.41407775878906
2020-01-01 00:00:00-05:00,61.35493087768555,149.74270629882812,97.48600006103516,57.699546813964844,6.561058044433594,165.7780303955078,34.93333435058594,318.239990234375,37.54999923706055,221.2152557373047
2020-04-01 00:00:00-04:00,88.22760772705078,193.75669860839844,137.9409942626953,70.41683197021484,9.461694717407227,225.6787872314453,71.98733520507812,435.30999755859375,45.50400161743164,285.4315185546875
2020-07-01 00:00:00-04:00,112.33879089355469,200.80758666992188,157.43649291992188,72.77804565429688,13.485289573669434,260.29534912109375,143.00332641601562,490.42999267578125,50.00299835205078,315.0400390625
2020-10-01 00:00:00-04:00,128.9449462890625,212.86354064941406,162.84649658203125,87.03173828125,13.015270233154297,271.486328125,235.22332763671875,500.1199951171875,54.073001861572266,367.4707946777344
2021-01-01 00:00:00-05:00,118.9072036743164,226.230712890625,154.70399475097656,102.41960144042969,13.311558723449707,292.7254333496094,222.64332580566406,475.3699951171875,52.16600036621094,371.230224609375
2021-04-01 00:00:00-04:00,133.52325439453125,260.5379333496094,172.00799560546875,121.25320434570312,19.954404830932617,345.57958984375,226.56666564941406,585.6400146484375,52.82099914550781,475.7939758300781
2021-07-01 00:00:00-04:00,138.1836395263672,271.7626037597656,164.2519989013672,132.7603302001953,20.670921325683594,337.31060791015625,258.49334716796875,575.719970703125,61.034000396728516,524.4390869140625
2021-10-01 00:00:00-04:00,173.66807556152344,324.8232727050781,166.7169952392578,143.8597869873047,29.3521785736084,334.2891845703125,352.260009765625,567.0599975585938,60.24399948120117,625.9818115234375
2022-01-01 00:00:00-05:00,171.0223388671875,298.3154296875,162.99749755859375,138.1149139404297,27.23476219177246,220.99758911132812,359.20001220703125,455.6199951171875,37.45899963378906,468.5494689941406
2022-04-01 00:00:00-04:00,134.0814971923828,249.01815795898438,106.20999908447266,108.21662139892578,15.133111953735352,160.2620391845703,224.47332763671875,366.05999755859375,17.48699951171875,376.02398681640625
2022-07-01 00:00:00-04:00,135.73208618164062,226.34197998046875,113.0,94.99481201171875,12.120833396911621,134.8487091064453,265.25,275.20001220703125,23.54400062561035,378.3778991699219
2022-10-01 00:00:00-04:00,127.78699493408203,233.5618438720703,84.0,87.6256332397461,14.59646224975586,119.6026840209961,123.18000030517578,336.5299987792969,29.488000869750977,380.8643493652344
2023-01-01 00:00:00-05:00,162.44923400878906,281.56805419921875,103.29000091552734,103.01947021484375,27.750768661499023,210.64146423339844,207.4600067138672,385.3699951171875,34.54800033569336,437.0834655761719
2023-04-01 00:00:00-04:00,191.3789825439453,333.4211730957031,130.36000061035156,118.88007354736328,42.26922607421875,285.2216796875,261.7699890136719,488.989990234375,44.04899978637695,450.1092834472656
2023-07-01 00:00:00-04:00,169.1566619873047,309.8251953125,127.12000274658203,129.96363830566406,43.46979904174805,298.3706359863281,250.22000122070312,509.8999938964844,37.7599983215332,502.82208251953125
2023-10-01 00:00:00-04:00,190.47781372070312,369.7651672363281,151.94000244140625,138.733154296875,49.49283218383789,351.79132080078125,248.47999572753906,596.5999755859375,48.6879997253418,616.1637573242188
2024-01-01 00:00:00-05:00,169.87570190429688,414.5392761230469,180.3800048828125,149.89613342285156,90.31070709228516,482.6048583984375,175.7899932861328,504.6000061035156,60.733001708984375,641.8961181640625
2024-04-01 00:00:00-04:00,208.91575622558594,441.19830322265625,193.25,180.9022979736328,123.48387908935547,501.6623840332031,197.8800048828125,555.5399780273438,67.48799896240234,649.9937744140625
2024-07-01 00:00:00-04:00,231.42816162109375,425.52874755859375,186.3300018310547,164.9029998779297,121.39480590820312,570.101806640625,261.6300048828125,517.780029296875,70.927001953125,615.0392456054688
2024-10-01 00:00:00-04:00,249.01853942871094,417.5776062011719,219.38999938964844,188.46884155273438,134.2515106201172,583.6746826171875,403.8399963378906,444.67999267578125,89.13200378417969,623.3297729492188
